TURN	TRIT	MOLY	DURA	NEUT	SUPP	MC	CLANS
001	827	441	346	572	350	4640	24900
002	854	553	259	472	350	3280	25145
003	927	785	261	424	250	2023	24406
004	1147	1192	267	501	500	2201	23563
005	1367	1675	392	858	508	363	23731
006	1376	1957	439	964	87	1079	26038
007	1255	2074	406	990	449	2099	28601
008	1514	2393	756	1201	1224	4629	27838
009	1702	2638	973	1294	1376	5783	27005
010	2183	2816	1209	1475	2571	3103	29627
011	2221	2832	1190	1500	4045	6656	29936
012	3140	3576	1765	2118	5260	11471	29684
013	3081	3290	1437	2092	5693	6285	30933
014	2838	2887	1357	1926	7054	7494	33045
015	3522	3307	1453	1986	8450	4194	32005
016	2742	2311	916	2234	8974	15149	33217
017	3740	3322	1075	1800	8931	12105	33880
018	3602	3534	965	2442	7879	11200	34512
019	4456	3663	1094	3757	7233	11861	37130
020	4634	3845	1904	3858	7409	12430	39104
021	5800	4530	3600	5272	10371	26015	40234
022	5151	4139	3754	4984	9941	22657	40498
023	6271	4925	3818	4612	11008	17692	39318
024	5460	4281	3313	3810	11491	16084	40534
025	6641	3541	3959	4586	13997	7288	40621
026	8004	5479	4992	4576	14262	11738	40616
027	6806	4962	6156	5186	16730	18493	41083
028	8381	5521	4543	4290	17428	18475	42735
029	8613	6853	7146	4979	18449	17528	46003
030	9007	7388	7876	5703	21139	14174	47508
031	7879	8380	8760	5604	21281	27787	49310
032	9869	10116	8128	5007	21310	26478	51210
033	8798	9654	9005	4099	22742	29374	51667
034	12006	10018	8351	5646	24779	26197	53631
035	11751	10121	8805	6272	22038	20189	55931
036	11452	9877	8849	6060	20176	21224	58030
037	12699	12624	9346	5742	24787	38326	59002
038	12885	11925	9444	6108	27118	43233	61578
039	12703	12299	9745	5204	29438	27694	63402
040	12785	12184	8670	5275	27665	32506	65909
041	12141	14051	11587	5136	26507	40279	67147
042	12403	18892	12596	8323	28659	25476	69752
043	14870	20132	12109	9596	27966	33595	72555
044	14570	20530	12082	10349	32483	45598	75665
045	13267	20957	10664	10184	31359	48768	76636
046	13653	21141	10519	11873	34924	47968	79631
047	14747	20678	16083	11639	35103	58034	82969
048	14755	21008	16210	9943	34163	61904	86005
049	14145	20391	15447	8636	36341	51406	89531
050	16863	20653	18479	10226	38857	68578	91156
051	18427	21184	20030	9329	40865	69103	94567
052	18594	22822	21192	8671	45529	63915	98454
053	17509	22429	19336	6386	44897	70345	102629
054	21087	23045	19809	7785	48665	75249	106462
055	30832	24160	22081	9389	52556	103142	108464
056	39285	23946	22563	9804	51704	96927	113110
057	39697	24144	28154	8484	56244	116563	117397
058	49107	25012	41386	8705	59908	115569	122347
059	51044	26375	43573	10992	61491	130949	124292
060	55457	26875	46076	11739	68922	127516	125569
061	56909	27810	47146	13882	74281	155878	129119
062	58151	28135	48978	14432	79029	160860	132919
063	59199	30082	49754	15421	87079	171370	136141
064	60535	31248	50891	17060	95289	180934	138165
065	61470	32251	51425	18843	103743	189881	140392
066	63186	33548	52624	20401	112722	202892	142659
067	64133	34667	53200	22162	121618	211344	145162
068	65246	35967	53928	24082	130420	213784	149813
069	66059	37241	54675	26005	136481	225413	154680
070	67429	38686	55367	25316	142498	233741	156319
071	68398	39760	56043	27544	150290	245344	158946
072	69609	41158	56671	29453	158901	248812	161797
