TURN	TRIT	MOLY	DURA	NEUT	SUPPLIES	MC	CLANS	MINERALS	AMMO	BURN	DIST
001	0	0	0	100	0	0	100	0	0	0	0
002	0	0	0	284	200	600	1090	0	0	19	63
003	0	0	0	349	300	1200	1980	0	0	116	148
004	0	0	0	398	0	600	1270	0	0	36	139
005	0	0	0	535	400	600	3340	0	0	276	294
006	115	70	140	389	300	718	2130	325	0	270	307
007	456	555	393	512	100	2100	0	1404	0	155	205
008	145	165	144	583	200	300	1200	454	0	242	288
009	275	254	150	768	370	1438	3060	679	0	371	329
010	166	318	198	741	160	7915	1659	682	0	285	468
011	404	559	446	1071	130	7438	1628	1409	0	406	478
012	0	0	0	1199	388	1600	2688	0	0	414	498
013	384	424	494	1843	476	6958	2578	1302	80	443	594
014	919	859	455	2052	464	6366	1667	2233	80	571	749
015	503	464	269	2473	414	9250	2616	1236	160	486	640
016	1196	959	203	2355	884	1900	2706	2358	164	752	739
017	259	247	326	2911	1032	6636	3237	832	240	777	685
018	478	294	425	3011	612	12718	3568	1197	252	851	969
019	191	350	1497	2624	454	11154	1330	2038	292	390	873
020	976	608	997	3205	875	16740	789	2581	382	711	1079
021	610	366	160	2933	522	4848	789	1136	501	617	1183
022	1277	699	544	4809	366	4548	1601	2520	501	214	291
023	774	524	997	5765	221	3120	4037	2295	642	745	918
024	1875	1404	1778	7370	1477	10580	2835	5057	742	1506	1022
025	1088	2157	1629	6766	169	26995	2769	4874	754	1355	1299
026	260	353	447	5888	997	13222	2889	1060	929	1134	1637
027	1726	1505	219	5455	269	12628	2886	3450	1056	1210	1509
028	141	1560	1741	6981	329	10027	1854	3442	1078	1267	1515
029	92	646	1032	6266	1384	8986	254	1770	1047	929	1369
030	92	646	632	6881	279	13726	262	1370	1139	846	1466
031	2402	1730	415	7868	1732	6978	344	4547	1142	1300	1366
032	466	880	1697	8822	283	9444	342	3043	1333	1179	1769
033	3642	2048	913	9933	383	9072	540	6603	1403	1361	2001
034	568	1895	1274	7731	470	12222	553	3737	1380	1213	1591
035	921	1869	640	7272	2318	14393	451	3430	1509	1005	1565
036	1692	2666	1569	8684	2861	20051	231	5927	1556	1238	1228
037	659	490	908	8745	913	2017	269	2057	1742	1135	1958
038	587	1786	1100	9716	20	502	74	3473	2040	1316	2296
039	953	1965	1573	12266	1220	15709	434	4491	2127	1817	2646
040	1090	2536	3079	11837	1220	11105	434	6705	2250	2077	2878
041	1963	1154	1334	12272	2136	7090	434	4451	2378	1854	2625
042	3200	2408	905	14586	2274	22801	224	6513	2318	2133	2668
043	1096	1347	683	12708	2274	26467	224	3126	2363	1596	3134
044	1459	1365	967	11350	1500	13693	124	3791	2442	1911	3535
045	2455	688	1932	11488	4305	13359	223	5075	2668	2153	2780
046	2190	994	1914	9537	1301	14942	240	5098	2533	1722	3008
047	1583	1145	843	8849	3015	5843	240	3571	2634	1619	2772
048	2119	1452	1313	9602	2053	9893	239	4884	2567	1754	2630
049	2288	2089	2376	10195	823	18166	239	6753	2455	1719	2810
050	1020	2070	1457	10143	323	5202	303	4547	2694	1508	2645
051	1335	2157	570	12386	3045	6732	273	4062	2832	1875	2823
052	489	1257	87	12345	1024	20914	273	1833	2984	1510	3115
053	1273	1724	1579	14690	983	11780	273	4576	3034	1868	2954
054	982	1230	1112	12950	270	7409	173	3324	2975	1761	3104
055	130	928	233	11594	1612	4890	173	1291	3137	1745	3357
056	160	765	989	12664	1814	31117	172	1914	3279	1884	3623
057	227	798	1021	15830	265	22712	167	2046	3105	1746	3297
058	148	148	48	17586	565	30363	166	344	3382	1557	2803
059	703	280	252	18005	411	36635	76	1235	3585	2079	3429
060	1049	1046	647	18147	458	40942	76	2742	3595	2145	3390
061	420	565	724	15732	278	22228	76	1709	3734	2059	3980
062	174	1207	175	15069	1419	21526	66	1556	4081	2161	3715
063	6	39	11	13863	1669	19251	66	56	4193	1720	2937
064	6	39	11	12686	1867	19710	62	56	4131	1007	1770
065	6	39	11	12108	2070	20169	62	56	4242	739	1068
066	6	39	11	11817	2268	20628	62	56	4123	319	440
067	6	39	11	11946	2486	21087	60	56	4159	0	0
068	6	39	11	11463	2550	21546	40	56	4204	261	596
069	6	39	11	11460	2549	22005	36	56	4157	334	394
070	6	39	11	14100	2548	22600	193	56	4173	273	445
071	6	39	11	13487	2547	22995	185	56	4204	633	798
072	6	39	11	13314	2551	23390	185	56	4250	257	251
